symbol,time_open,time_close,side,entry,exit,leverage,pnl_usd,pnl_pct,score,strategy,reason,balance
ETH/USDT,2026-03-13 22:03,2026-03-14 04:08,sell,2086.471332,2103.97,7.0,-6.430709753897451,-0.06430709753897451,-35.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: DOT_BIEN); 15M: Phá đỉnh (Vol: TANG)),
ETH/USDT,2026-03-14 06:37,2026-03-14 20:41,sell,2077.782201,2081.81,7.0,-1.916956132670217,-0.01916956132670217,-32.0,Breakout,SIGNAL (1M: Phá đỉnh (Vol: DOT_BIEN); 3M: Phá đỉnh (Vol: DOT_BIEN); 5M: Phá đỉnh (Vol: DOT_BIEN); 15M: Phá đỉnh (Vol: TANG); 30M: Phá đỉnh (Vol: THAP)),
ETH/USDT,2026-03-15 02:44,2026-03-15 13:08,buy,2104.090388,2100.45,6.0,-1.5180888636995924,-0.015180888636995925,41.0,Breakout,SIGNAL (1M: Phá gáy (Vol: DOT_BIEN); 3M: Phá gáy (Vol: DOT_BIEN); 5M: Phá gáy (Vol: DOT_BIEN); 15M: Phá gáy (Vol: DOT_BIEN)),
ETH/USDT,2026-03-15 13:10,2026-03-15 17:52,sell,2093.3006490000002,2105.9047118495914,4.0,-2.7284572573198824,-0.027284572573198825,-27.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-15 20:30,2026-03-15 22:32,buy,2126.002579,2154.3365785382616,6.0,7.516415381092061,0.07516415381092062,29.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-15 22:32,2026-03-15 22:50,buy,2152.945273,2183.6142922249924,6.0,8.067087455388158,0.08067087455388158,41.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-16 03:24,2026-03-16 03:34,buy,2207.280706,2246.910622485148,7.0,12.007926437356172,0.12007926437356171,47.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-16 03:34,2026-03-16 05:57,buy,2244.484426,2284.632465512834,4.0,6.834968695306812,0.06834968695306812,69.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-16 12:20,2026-03-16 14:30,buy,2292.559233,2264.684275910483,6.0,-7.775329173163486,-0.07775329173163487,25.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-16 18:07,2026-03-16 22:07,buy,2324.2324,2386.02,6.0,15.470453147456368,0.15470453147456367,45.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-16 22:07,2026-03-16 23:02,buy,2385.408517,2348.01,7.0,-11.534624142335005,-0.11534624142335005,58.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-17 04:40,2026-03-17 07:17,sell,2298.560121,2332.47,7.0,-10.88686292741954,-0.1088686292741954,-27.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-18 11:29,2026-03-18 12:30,sell,2294.930484,2248.21,8.0,15.646500815856498,0.15646500815856498,-45.0,Breakout,TP (Hit Price/ROE),
ETH/USDT,2026-03-18 20:08,2026-03-18 20:49,sell,2164.5035279999997,2192.0093638772128,7.0,-9.455381719169514,-0.09455381719169514,-41.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-19 03:19,2026-03-19 04:25,buy,2224.392417,2195.073903018835,7.0,-9.78632159234492,-0.09786321592344921,27.0,Breakout,SL (Hit Price/ROE),
ETH/USDT,2026-03-19 07:13,2026-03-19 10:00,sell,2164.423536,2192.07,8.0,-10.858504295547592,-0.10858504295547591,-27.0,Breakout,SL (Hit Price/ROE),
